Index,Image,Results,ResultsCu,CuP,ResultsAg,AgP,ResultsPb,PbP,Agree,Comments
1,oddy_autry_153.jpg,P,P,0.60,Tie: P + T,0.00,P,0.60,Don't Use,Contact + No contact sections - NN won't be able to differentiate
2,oddy_cma_1485.jpg,U,Tie: T + U,0.00,U,0.80,U,1.00,Don't Use,Contact Goop - Weird
3,oddy_cma_1486.jpg,U,U,0.80,U,0.60,U,1.00,Yes,
4,oddy_cma_1497.jpg,P,P,1.00,P,1.00,T,0.80,No,
5,oddy_cma_1498.jpg,U,P,0.80,P,0.60,U,1.00,Yes,
6,oddy_cma_1499.jpg,P,P,0.80,P,0.80,T,0.80,No,
7,oddy_cma_1500.jpg,T,P,1.00,P,0.80,T,0.80,Yes,
8,oddy_cma_1501.jpg,P,P,1.00,P,1.00,T,0.80,No,
9,oddy_cma_1502.jpg,T,P,0.80,P,1.00,T,0.80,Yes,
10,oddy_cma_1503.jpg,T,P,0.80,T,0.60,T,0.80,Yes,
11,oddy_cma_1504.jpg,T,T,0.60,T,0.60,T,0.80,Yes,
12,oddy_cma_1505.jpg,U,P,0.60,P,0.80,U,0.80,Yes,
13,oddy_cma_1506.jpg,P,P,0.60,T,0.60,T,0.60,No,
14,oddy_cma_1507.jpg,U,U,0.60,Tie: P + T,0.00,U,1.00,Yes,"Ag Tie: PPTTU, top coupon looks hazey to me, so T "
15,oddy_cma_1508.jpg,U,U,0.60,Tie: P + U,0.00,U,1.00,Yes,"Ag Tie: PPTUU, Some tape on top, potentially yellowed or weird lighting"
16,oddy_cma_1509.jpg,P,P,0.80,P,1.00,T,1.00,No,
17,oddy_cma_1510.jpg,U,U,0.60,T,0.60,T,0.60,Yes,
18,oddy_cma_1511.jpg,T,T,0.60,P,0.80,T,0.80,Yes,
19,oddy_cma_1512.jpg,T,T,0.80,P,0.80,T,1.00,Yes,
20,oddy_cma_1530.jpg,P,P,1.00,P,1.00,P,1.00,Yes,
21,oddy_cma_1536.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead - almost black spots?
22,oddy_cma_1537.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
23,oddy_cma_1538.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
24,oddy_cma_1539.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
25,oddy_cma_1540.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
26,oddy_cma_1541.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
27,oddy_cma_1545.jpg,U,T,0.60,P,1.00,T,0.80,No,Comment: Doesn't look like a U to them
28,oddy_cma_1546.jpg,U,U,0.80,P,1.00,T,0.80,Yes,
29,oddy_cma_1547.jpg,P,P,1.00,P,1.00,P,0.80,Yes,
30,oddy_cma_1548.jpg,T,T,0.60,T,0.80,T,0.60,Yes,Cu and Pb are borderline P/T
31,oddy_cma_1550.jpg,U,U,0.60,U,0.60,Tie: T + U,0.00,Yes,"Pb Tie: PTTUU, looks like rainbow tarnish or a bit of orange corrosion, I'd choose T"
32,oddy_cma_1552.jpg,U,T,0.40,T,0.60,U,0.80,Yes,"Relatively undecided about Copper, the bottom ones looks red - T"
33,oddy_cma_1554.jpg,U,Tie: P + T,0.00,T,0.60,T,0.60,Yes,"Cu Tie: PPTTU, looks like the above, I'm leaning towards T"
34,oddy_cma_1555.jpg,T,T,1.00,T,0.67,T,1.00,Yes,
35,oddy_cma_1560.jpg,U,NA,0.33,NA,0.33,U,0.67,,
36,oddy_cma_1561.jpg,P,T,0.67,P,0.67,T,0.67,,
37,oddy_cma_1562.jpg,U,T,0.67,NA,0.33,U,0.67,,
38,oddy_cma_1563.jpg,T,T,0.67,P,0.67,T,0.67,,
39,oddy_cma_1564.jpg,U,NA,0.33,NA,0.33,U,0.67,,
40,oddy_cma_1565.jpg,U,T,1.00,NA,0.33,U,0.67,,
41,oddy_cma_1566.jpg,U,T,1.00,T,0.67,T,0.67,,
42,oddy_cma_1567.jpg,U,T,1.00,T,0.67,U,0.67,,
43,oddy_cma_1568.jpg,T,T,1.00,T,0.67,T,0.67,,
44,oddy_cma_1571.jpg,T,T,1.00,T,1.00,T,0.67,,
45,oddy_cma_1572.jpg,U,T,1.00,T,0.67,T,0.67,,
46,oddy_cma_1573.jpg,T,T,1.00,NA,0.33,T,0.67,,
