filename,width,height,class,xmin,ymin,xmax,ymax
1312_GA.jpg,960,640,Cu-T,12,244,118,565
1312_GA.jpg,960,640,Cu-T,116,237,234,565
1312_GA.jpg,960,640,Ag-P,234,260,370,568
1312_GA.jpg,960,640,Ag-P,370,283,504,570
1312_GA.jpg,960,640,Pb-P,504,239,622,572
1312_GA.jpg,960,640,Pb-P,622,239,736,568
1312_Si.jpg,960,640,Cu-T,9,244,118,565
1312_Si.jpg,960,640,Cu-T,116,241,238,570
1312_Si.jpg,960,640,Ag-P,238,262,370,568
1312_Si.jpg,960,640,Ag-P,370,283,504,570
1312_Si.jpg,960,640,Pb-P,502,234,622,572
1312_Si.jpg,960,640,Pb-P,622,239,736,570
1314_GA.jpg,960,640,Cu-P,9,241,123,565
1314_GA.jpg,960,640,Cu-P,123,241,238,568
1314_GA.jpg,960,640,Ag-P,238,239,377,568
1314_GA.jpg,960,640,Ag-P,377,234,516,568
1314_GA.jpg,960,640,Pb-P,511,239,622,570
1314_GA.jpg,960,640,Pb-P,620,246,733,568
1314_Si.jpg,960,640,Cu-P,5,241,123,563
1314_Si.jpg,960,640,Cu-P,125,239,241,568
1314_Si.jpg,960,640,Ag-P,243,239,386,565
1314_Si.jpg,960,640,Ag-P,382,232,514,565
1314_Si.jpg,960,640,Pb-P,509,237,622,565
1314_Si.jpg,960,640,Pb-P,620,248,736,568
1315_GA.jpg,960,640,Cu-U,35,244,146,565
1315_GA.jpg,960,640,Cu-U,146,244,284,568
1315_GA.jpg,960,640,Ag-P,284,253,396,572
1315_GA.jpg,960,640,Ag-P,396,253,507,570
1315_GA.jpg,960,640,Pb-U,504,260,618,570
1315_GA.jpg,960,640,Pb-U,625,225,733,568
1315_Si.jpg,960,640,Cu-U,37,246,148,568
1315_Si.jpg,960,640,Cu-U,148,244,284,572
1315_Si.jpg,960,640,Ag-P,287,253,400,570
1315_Si.jpg,960,640,Ag-P,393,253,507,570
1315_Si.jpg,960,640,Pb-U,504,260,620,570
1315_Si.jpg,960,640,Pb-U,620,225,736,570
1316_GA.jpg,960,640,Cu-U,46,223,136,568
1316_GA.jpg,960,640,Cu-U,134,239,241,570
1316_GA.jpg,960,640,Ag-P,248,241,342,570
